,Wolves,Sheep,Human
0,50,100,50
1,52,86,45
2,53,69,44
3,54,59,40
4,57,54,35
5,62,45,29
6,62,38,26
7,62,28,26
8,65,23,27
9,65,24,27
10,65,18,26
11,68,16,24
12,68,13,24
13,79,13,23
14,85,9,19
15,86,6,17
16,87,4,16
17,90,3,13
18,90,2,11
19,88,2,10
20,91,2,8
21,93,1,6
22,93,1,5
23,87,1,4
24,90,0,1
25,89,0,1
26,86,0,0
27,86,0,0
28,81,0,0
29,81,0,0
30,81,0,0
31,86,0,0
32,77,0,0
33,66,0,0
34,62,0,0
35,58,0,0
36,59,0,0
37,52,0,0
38,52,0,0
39,47,0,0
40,47,0,0
41,47,0,0
42,45,0,0
43,41,0,0
44,39,0,0
45,39,0,0
46,41,0,0
47,39,0,0
48,38,0,0
49,32,0,0
50,32,0,0
51,27,0,0
52,21,0,0
53,20,0,0
54,18,0,0
55,15,0,0
56,12,0,0
57,11,0,0
58,10,0,0
59,10,0,0
60,9,0,0
61,11,0,0
62,12,0,0
63,7,0,0
64,6,0,0
65,4,0,0
66,2,0,0
67,2,0,0
68,2,0,0
69,2,0,0
70,2,0,0
71,2,0,0
72,3,0,0
73,1,0,0
74,1,0,0
75,1,0,0
76,1,0,0
77,1,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
86,0,0,0
87,0,0,0
88,0,0,0
89,0,0,0
90,0,0,0
91,0,0,0
92,0,0,0
93,0,0,0
94,0,0,0
95,0,0,0
96,0,0,0
97,0,0,0
98,0,0,0
99,0,0,0
100,0,0,0
